date	val
31-Mar-09	105.12
30-Mar-09	104.49
27-Mar-09	106.85
26-Mar-09	109.87
25-Mar-09	106.49
24-Mar-09	106.50
23-Mar-09	107.66
20-Mar-09	101.59
19-Mar-09	101.62
18-Mar-09	101.52
17-Mar-09	99.66
16-Mar-09	95.42
13-Mar-09	95.93
12-Mar-09	96.35
11-Mar-09	92.68
10-Mar-09	88.63
9-Mar-09	83.11
6-Mar-09	85.30
5-Mar-09	88.84
4-Mar-09	91.17
3-Mar-09	88.37
2-Mar-09	87.94
27-Feb-09	89.31
26-Feb-09	89.19
25-Feb-09	91.16
24-Feb-09	90.25
23-Feb-09	86.95
20-Feb-09	91.20
19-Feb-09	90.64
18-Feb-09	94.37
17-Feb-09	94.53
13-Feb-09	99.16
12-Feb-09	99.27
11-Feb-09	96.82
10-Feb-09	97.83
9-Feb-09	102.51
6-Feb-09	99.72
5-Feb-09	96.46
4-Feb-09	93.55
3-Feb-09	92.98
2-Feb-09	91.51
30-Jan-09	90.13
29-Jan-09	93.00
28-Jan-09	94.20
27-Jan-09	90.73
26-Jan-09	89.64
23-Jan-09	88.36
22-Jan-09	88.36
